year,brand,ad_url,ad_time,category,gender,diversity
2016,NFL,https://superbowl-ads.com/nfl-2016-super-bowl-50-ad-super-bowl-babies-choir/,60,NFL,both,TRUE
2017,Hynudai,https://superbowl-ads.com/2017-hyundai-super-bowl-51-li-tv-commercial-better-super-bowl/,90,car,both,TRUE
2012,Bud Light,https://superbowl-ads.com/2012-bud-light-rescue-dog/,60,beer,both,TRUE
2008,Budweiser,https://superbowl-ads.com/2008-budweiser-dalmatian-trains-hank-for-team/,60,beer,male,FALSE
2013,Hynudai,https://superbowl-ads.com/video-hyundai-2013-super-bowl-xlvii-ad-santafe-team/,45,car,both,TRUE
2010,Doritos,https://superbowl-ads.com/hd-exclusive-casket-funeral-doritos-2010-super-bowl-44-xliv-commercial-ad/,30,snack,both,FALSE
2016,Bud Light,https://superbowl-ads.com/bud-light-2016-super-bowl-50-ad-the-bud-light-party/,60,beer,both,TRUE
2019,Toyota,https://superbowl-ads.com/2019-toyota-toni-with-antoinette-harris/,60,car,female,TRUE
2009,Bud Light,https://superbowl-ads.com/2009-bud-light-meeting/,30,beer,both,FALSE
2019,Budweiser,https://superbowl-ads.com/2019-budweiser-wind-never-felt-better/,60,beer,male,FALSE
2003,Bud Light,https://superbowl-ads.com/2003-bud-light-yoga/,30,beer,both,FALSE
2019,Coca-Cola,https://superbowl-ads.com/2019-coca-cola-a-coke-is-a-coke/,60,pop,both,TRUE
2012,Hynudai,https://superbowl-ads.com/2012-hyundai-genesis-heart/,30,car,male,FALSE
2011,Hynudai,https://superbowl-ads.com/2011-hyundai-super-bowl-commercial-hypnotized-video/,30,car,male,FALSE
2015,Kia,https://superbowl-ads.com/2015-kia-sorento-the-perfect-getaway-with-pierce-brosnan/,60,car,both,FALSE
2014,Budweiser,https://superbowl-ads.com/2014-budweiser-a-heros-welcome/,60,beer,both,FALSE
2007,Bud Light,https://superbowl-ads.com/2007-bud-light-rock-scissors-paper/,30,beer,both,FALSE
2008,Hynudai,https://superbowl-ads.com/2008-hyundai-genesis-luxury/,30,car,male,FALSE
2010,NFL,https://superbowl-ads.com/2010-nfl-best-fans-on-the-planet/,60,NFL,male,TRUE
2005,Pepsi,https://superbowl-ads.com/2005-pepsi-song-in-a-bottle/,45,pop,both,TRUE
